"word_id","word","wordLen","urlcount","totalcount","adjFreq","deleted","whyDeleted","Rank","Date Imported","corrected","english"
464199,"建",1,2894,12783,2602,0,,44,6/27/2006 17:38:58,,0
464200,"更多",2,1650,6632,1350,0,,128,6/27/2006 17:38:58,,0
464201,"标",1,2267,9743,1983,0,,75,6/27/2006 17:38:58,,0
464202,"储",1,303,685,139,0,,982,6/27/2006 17:38:58,,0
464203,"工作",2,2151,8952,1822,0,,83,6/27/2006 17:38:58,,0
464204,"阅",1,707,1952,397,0,,498,6/27/2006 17:38:58,,0
464205,"浏",1,527,893,182,0,,855,6/27/2006 17:38:58,,0
464206,"书",1,2067,6846,1393,0,,121,6/27/2006 17:38:58,,0
464208,"南京市",3,92,131,27,0,,1482,6/27/2006 17:38:58,,0
464211,"西路",2,145,198,40,0,,1415,6/27/2006 17:38:58,,0
464212,"天文台",3,151,549,112,0,,1081,6/27/2006 17:38:58,,0
464214,"紫金山",3,55,114,23,0,,1499,6/27/2006 17:38:58,,0
464216,"院",1,1943,9338,1901,0,,79,6/27/2006 17:38:58,,0
464217,"苏",1,1158,3369,686,0,,307,6/27/2006 17:38:58,,0
464218,"话",1,2786,6453,1313,0,,133,6/27/2006 17:38:58,,0
464219,"编",1,1954,3576,728,0,,290,6/27/2006 17:38:58,,0
464221,"科",1,2410,11875,2417,0,,54,6/27/2006 17:38:58,,0
464224,"邮",1,2000,3908,795,0,,264,6/27/2006 17:38:58,,0
464225,"地址",2,1256,1649,336,0,,560,6/27/2006 17:38:58,,0
464226,"阳",1,1292,4006,815,0,,254,6/27/2006 17:38:58,,0
464227,"春",1,698,1411,287,0,,641,6/27/2006 17:38:58,,0
464228,"挥",1,513,868,177,0,,870,6/27/2006 17:38:58,,0
464229,"圣",1,317,579,118,0,,1055,6/27/2006 17:38:58,,0
464230,"性",1,1728,4878,993,0,,201,6/27/2006 17:38:58,,0
464231,"位在",2,25,33,7,0,,1580,6/27/2006 17:38:58,,0
464232,"两",1,1507,3861,786,0,,272,6/27/2006 17:38:58,,0
464233,"由",1,1143,2177,443,0,,455,6/27/2006 17:38:58,,0
464235,"是",1,2507,10567,2151,0,,67,6/27/2006 17:38:58,,0
464236,"人造",2,42,75,15,0,,1538,6/27/2006 17:38:58,,0
464237,"尺度",2,63,116,24,0,,1497,6/27/2006 17:38:58,,0
464238,"个",1,2655,11764,2394,0,,56,6/27/2006 17:38:58,,0
464239,"世界",2,1391,5492,1118,0,,167,6/27/2006 17:38:58,,0
464240,"完成",2,594,1086,221,0,,760,6/27/2006 17:38:58,,0
464241,"际",1,2092,5891,1199,0,,151,6/27/2006 17:38:58,,0
464242,"础",1,832,1794,365,0,,527,6/27/2006 17:38:58,,0
464243,"客座",2,15,28,6,0,,1585,6/27/2006 17:38:58,,0
464244,"齐",1,470,816,166,0,,903,6/27/2006 17:38:58,,0
464245,"总",1,2054,6075,1236,0,,144,6/27/2006 17:38:58,,0
464246,"场",1,2241,9183,1869,0,,81,6/27/2006 17:38:58,,0
464247,"为",1,3567,17532,3568,0,,21,6/27/2006 17:38:58,,0
464248,"等",1,2171,6698,1363,0,,126,6/27/2006 17:38:58,,0
464249,"丽",1,687,1435,292,0,,635,6/27/2006 17:38:58,,0
464250,"举",1,1372,3474,707,0,,300,6/27/2006 17:38:58,,0
464251,"界",1,635,1080,220,0,,764,6/27/2006 17:38:58,,0
464252,"硕",1,315,626,127,0,,1023,6/27/2006 17:38:58,,0
464253,"物理",2,302,1109,226,0,,751,6/27/2006 17:38:58,,0
464254,"光",1,1418,3807,775,0,,277,6/27/2006 17:38:58,,0
464256,"乌",1,305,609,124,0,,1037,6/27/2006 17:38:58,,0
464257,"恒",1,254,730,149,0,,954,6/27/2006 17:38:58,,0
464259,"激光",2,79,138,28,0,,1475,6/27/2006 17:38:58,,0
464260,"江",1,1340,4610,938,0,,213,6/27/2006 17:38:58,,0
464261,"员",1,2957,12678,2580,0,,45,6/27/2006 17:38:58,,0
464262,"略",1,726,1626,331,0,,571,6/27/2006 17:38:58,,0
464264,"框架",2,126,208,42,0,,1405,6/27/2006 17:38:58,,0
464265,"由中",2,168,188,38,0,,1425,6/27/2006 17:38:58,,0
464266,"起",1,1126,2076,423,0,,479,6/27/2006 17:38:58,,0
464267,"潭",1,50,83,17,0,,1530,6/27/2006 17:38:58,,0
464268,"入",1,1708,3812,776,0,,276,6/27/2006 17:38:58,,0
464270,"鲁",1,410,810,165,0,,907,6/27/2006 17:38:58,,0
464271,"改建",2,23,27,5,0,,1586,6/27/2006 17:38:58,,0
464272,"成立",2,566,876,178,0,,864,6/27/2006 17:38:58,,0
464273,"公",1,2146,7199,1465,0,,112,6/27/2006 17:38:58,,0
464274,"六",1,667,1209,246,0,,705,6/27/2006 17:38:58,,0
464275,"隆",1,233,473,96,0,,1146,6/27/2006 17:38:58,,0
464276,"签",1,548,1043,212,0,,779,6/27/2006 17:38:58,,0
464277,"共",1,1232,2968,604,0,,356,6/27/2006 17:38:58,,0
464278,"简",1,1893,3350,682,0,,308,6/27/2006 17:38:58,,0
464279,"关",1,4068,18257,3716,0,,19,6/27/2006 17:38:58,,0
464280,"九大",2,47,64,13,0,,1549,6/27/2006 17:38:58,,0
464281,"兴",1,1049,2171,442,0,,457,6/27/2006 17:38:58,,0
464282,"包括",2,538,931,189,0,,827,6/27/2006 17:38:58,,0
464283,"首",1,3395,6848,1394,0,,120,6/27/2006 17:38:58,,0
464284,"批准",2,256,447,91,0,,1170,6/27/2006 17:38:58,,0
464285,"鲜",1,428,1221,249,0,,701,6/27/2006 17:38:58,,0
464286,"了",1,2156,10146,2065,0,,71,6/27/2006 17:38:58,,0
464287,"精度",2,50,139,28,0,,1474,6/27/2006 17:38:58,,0
464288,"型",1,1144,3339,680,0,,309,6/27/2006 17:38:58,,0
464289,"和",1,3526,20256,4123,0,,12,6/27/2006 17:38:58,,0
464291,"事",1,2063,5539,1127,0,,165,6/27/2006 17:38:58,,0
464292,"册",1,1380,2543,518,0,,407,6/27/2006 17:38:58,,0
464293,"二",1,1221,2468,502,0,,418,6/27/2006 17:38:58,,0
464294,"互",1,750,1187,242,0,,714,6/27/2006 17:38:58,,0
464295,"五",1,1033,1855,378,0,,517,6/27/2006 17:38:58,,0
464296,"纤",1,134,239,49,0,,1375,6/27/2006 17:38:58,,0
464297,"约",1,941,1794,365,0,,527,6/27/2006 17:38:58,,0
464298,"级",1,2021,7244,1474,0,,111,6/27/2006 17:38:58,,0
464299,"探",1,472,935,190,0,,823,6/27/2006 17:38:58,,0
464300,"主持",2,219,367,75,0,,1247,6/27/2006 17:38:58,,0
